rank,iso3,country,display_name,office_title,role_type,salary_basis,status,note,wikidata_head,wikidata_head_government,image_file,image_status
"84","TUN","Tunisia","Kais Saied","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Kais Saied).","Kais Saied","Sarra Zaafrani","079_TUN_Kais-Saied.jpg","IMAGE_UNIQUE"
"85","TCD","Chad","Mahamat Déby","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Mahamat Déby).","Mahamat Déby","Albert Pahimi Padacké","067_TCD_Mahamat-Déby.jpg","IMAGE_UNIQUE"
"86","UZB","Uzbekistan","Shavkat Mirziyoyev","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Shavkat Mirziyoyev).","Shavkat Mirziyoyev","Abdulla Aripov","039_UZB_Shavkat-Mirziyoyev.jpg","IMAGE_UNIQUE"
"87","YEM","Yemen","Rashad al-Alimi","Chairperson, Presidential Leadership Council","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Rashad al-Alimi).","Rashad al-Alimi","Salem Saleh bin Braik","047_YEM_Rashad-al-Alimi.jpg","IMAGE_UNIQUE"
"88","SEN","Senegal","Bassirou Diomaye Faye","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Bassirou Diomaye Faye).","Bassirou Diomaye Faye","Bassirou Diomaye Faye","068_SEN_Bassirou-Diomaye-Faye.jpg","IMAGE_UNIQUE"
"89","TJK","Tajikistan","Emomali Rahmon","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Emomali Rahmon).","Emomali Rahmon","Kokhir Rasulzoda","088_TJK_Emomali-Rahmon.jpg","IMAGE_UNIQUE"
"90","SLE","Sierra Leone","Julius Maada Bio","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Julius Maada Bio).","Julius Maada Bio","David Sengeh","099_SLE_Julius-Maada-Bio.jpg","IMAGE_UNIQUE"
"91","VEN","Venezuela","Delcy Rodriguez","Acting President / Executive Vice President","head_state","acting_president_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Delcy Rodriguez).","Delcy Rodriguez","","053_VEN_Delcy-Rodriguez.jpg","IMAGE_UNIQUE"
"92","BGD","Bangladesh","Mohammad Shahabuddin","Head of state / president where applicable","head_state","official_local_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Mohammad Shahabuddin).","Mohammad Shahabuddin","Muhammad Yunus","008_BGD_Mohammad-Shahabuddin.jpg","IMAGE_UNIQUE"
"93","UGA","Uganda","Yoweri Museveni","Head of state / president where applicable","head_state","reported_local_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Yoweri Museveni).","Yoweri Museveni","Robinah Nabbanja","035_UGA_Yoweri-Museveni.jpg","IMAGE_UNIQUE"
"94","VNM","Vietnam","Tô Lâm","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Tô Lâm).","Tô Lâm","Phạm Minh Chính","016_VNM_Tô-Lâm.jpg","IMAGE_UNIQUE"
"95","EGY","Egypt","Abdel Fattah el-Sisi","Head of state / president where applicable","head_state","reported_legal_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Abdel Fattah el-Sisi).","Abdel Fattah el-Sisi","Mostafa Madbouly","015_EGY_Abdel-Fattah-el-Sisi.jpg","IMAGE_UNIQUE"
"96","NGA","Nigeria","Bola Ahmed Tinubu","Head of state / president where applicable","head_state","official_remuneration_package_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Bola Ahmed Tinubu).","Bola Ahmed Tinubu","Bola Ahmed Tinubu","006_NGA_Bola-Ahmed-Tinubu.jpg","IMAGE_UNIQUE"
"97","AGO","Angola","João Lourenço","Head of state / president where applicable","head_state","local_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (João Lourenço).","João Lourenço","João Lourenço","038_AGO_João-Lourenço.jpg","IMAGE_UNIQUE"
"98","UKR","Ukraine","Volodymyr Zelenskyy","Head of state / president where applicable","head_state","manual_2025_declaration_uah_to_usd_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Volodymyr Zelenskyy).","Volodymyr Zelenskyy","Yulia Svyrydenko","052_UKR_Volodymyr-Zelenskyy.jpg","IMAGE_UNIQUE"
"99","LKA","Sri Lanka","Anura Kumara Dissanayake","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Anura Kumara Dissanayake).","Anura Kumara Dissanayake","Harini Amarasuriya","061_LKA_Anura-Kumara-Dissanayake.jpg","IMAGE_UNIQUE"
"100","CUB","Cuba","Miguel Díaz-Canel","Head of state / president where applicable","head_state","presidential_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Miguel Díaz-Canel).","Miguel Díaz-Canel","Manuel Marrero Cruz","095_CUB_Miguel-Díaz-Canel.jpg","IMAGE_UNIQUE"
