"rank_population","country_en","country_ru","iso3","population","population_date","population_source","leader_name_en","leader_name_ru","leader_qid","office_title","role_type","salary_local_annual","salary_usd_annual_approx","salary_usd_display","salary_conversion_note","salary_usd_monthly_display","salary_usd_monthly_equivalent","salary_basis","salary_confidence","salary_source_url","salary_source_caveat","portrait_original_file","portrait_3x4_file","portrait_source_url","portrait_license","portrait_author","portrait_attribution","portrait_width","portrait_height","notes"
"33","Argentina","Аргентина","ARG","46387098","1 Jul 2025","National annual projection","Javier Milei","Хавьер Милей","Q52395487","Head of state / president where applicable","head_state","ARS 4,066,018/month","41400","$41,400","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,450","3450","reported_official_salary_current_fx_estimate","high","https://www.lanacion.com.ar/politica/cuanto-cobra-de-sueldo-el-presidente-de-la-nacion-nid30122025/","2025 reports put gross salary around ARS 4,066,018/month; USD converted approximately. Corrects AR$ parsing bug.","","assets/final_portraits_3x4/033_ARG_Javier-Milei.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Mattarella%20Milei%202024%20%28cropped%29.jpg","Attribution","Quirinale","https://www.quirinale.it/elementi/107350","","",""
"34","Iraq","Ирак","IRQ","46118793","21 Nov 2024","2024 census result","Nizar Amedi","???? ?????","Q6496078","President","president","production estimate, USD monthly equivalent","144000","$144,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$12,000","12000","presidential_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for current president; previous high aggregate value suppressed as unrealistic.","","assets/final_portraits_3x4/034_IRQ_Nizar-Amedi.jpg","https://www.kurdistan24.net/en/story/907256/puk-candidate-nizar-amedi-elected-president-of-iraq-in-parliamentary-vote","see_source","see_source","see source URL","1200","1600","FACTCHECK: CIA and April 2026 parliamentary election reports; prior Abdul Latif Rashid row was stale | FACTCHECK: Current 2026 president changed; prior $809,673 salary is not verified for current president. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"35","Uganda","Уганда","UGA","45905417","10 May 2024","2024 census result","Yoweri Museveni","Йовери Кагута Мусевени","Q57274","Head of state / president where applicable","head_state","UGX 43,200,000/year","11700","$11,700","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$975","975","reported_local_salary_current_fx_estimate","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Reported UGX 3.6m/month; USD converted approximately. Previous USD salary was a major aggregate-source error.","","assets/final_portraits_3x4/035_UGA_Yoweri-Museveni.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Yoweri%20Museveni%20September%202015.jpg","Public domain","U.S. Department of State","https://www.flickr.com/photos/statephotos/21149349393/","","",""
"36","Afghanistan","Афганистан","AFG","43844000","1 Jul 2025","UN projection (see note)","Hibatullah Akhundzada","Хайбатулла Ахундзада","Q24237654","Head of state / president where applicable","head_state","؋2,745,000 (Leader)","36030","$36,030","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,002","3002","verified_usd_column_from_salary_table","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/036_AFG_Hibatullah-Akhundzada.jpg","https://commons.wikimedia.org/wiki/File:Hasan_Akhund.png","CC BY 3.0","Uranus TV Kunduz","https://www.youtube.com/watch?v=S7WtOT6aZUU&amp;t=3s","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"37","Canada","Канада","CAN","41472081","1 Jan 2026","National quarterly estimate","Louise Arbour","Louise Arbour","Q456315","Governor General of Canada / representative of the monarch","representative_head_state","production estimate, USD monthly equivalent","288000","$288,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$24,000","24000","governor_general_equivalent_estimate","estimated","https://www.tvanouvelles.ca/2026/01/29/la-remuneration-de-la-gouverneure-generale-atteint-desormais-393-800","Canada is a constitutional monarchy; display uses the Governor General remuneration as representative head-of-state compensation equivalent. Louise Arbour installed 8 June 2026.","014_CAN_Louise-Arbour.jpg","014_CAN_Louise-Arbour.jpg","https://www.gg.ca/en/governor-general/governor-general-louise-arbour","Government of Canada public web asset","Office of the Secretary to the Governor General of Canada","Office of the Secretary to the Governor General of Canada","5058","6322","FACTCHECK 2026-06-09: replaced Charles III with Louise Arbour because salary basis is governor-general equivalent."
"38","Angola","Ангола","AGO","38778554","1 Jan 2026","National Estimate","João Lourenço","Жоау Лоуренсу","Q28650390","Head of state / president where applicable","head_state","AOA 7,681,200/year","8400","$8,400","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$700","700","local_salary_current_fx_estimate","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Kz 7,681,200/year retained but converted with current approximate FX; old USD table was stale.","","assets/final_portraits_3x4/038_AGO_João-Lourenço.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/President%20of%20Angola%20Jo%C3%A3o%20Louren%C3%A7o%20during%20a%20bilateral%20exchange%20at%20the%20Angola%20presidential%20palace%20in%20Luanda%2C%20Angola%2C%20September%2027%2C%202023%20-%20230927-D-PM193-1914%20%28cropped%29.jpg","Public domain","U.S. Secretary of Defense","https://www.flickr.com/photos/68842444@N03/53218396344/","","",""
"39","Uzbekistan","Узбекистан","UZB","38382685","1 Apr 2026","Official estimate","Shavkat Mirziyoyev","Шавкат Миромонович Мирзиёев","Q57808","Head of state / president where applicable","head_state","15,600 USD (President)","15600","$15,600","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,300","1300","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/039_UZB_Shavkat-Mirziyoyev.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Shavkat%20Mirziyoyev%20official%20portrait%20%28cropped%202%29.jpg","CC BY-SA 4.0","Press Service of the President of the Republic of Uzbekistan","Source confirming the publication: Official Facebook page of the President Shavkat MirziyoyevSupporting source: Official biography page of the President","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"40","Poland","Польша","POL","37281000","31 Mar 2026","Monthly national estimate","Karol Nawrocki","Кароль Тадеуш Навроцкий","Q17704749","Head of state / president where applicable","head_state","70,026 USD (President)","70026","$70,026","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,836","5836","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/040_POL_Karol-Nawrocki.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Karol%20Nawrocki%20%282025%29%20%28cropped%29.jpg","Public domain","The White House","https://www.flickr.com/photos/202101414@N05/54765502564/","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"41","Morocco","Марокко","MAR","36828330","1 Sep 2024","2024 census result","Mohammed VI of Morocco","Мухаммед VI","Q57553","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","488400","$488,400","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$40,700","40700","royal_allowance_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate from public salary/allowance tables; royal budget may not equal personal salary.","","assets/final_portraits_3x4/041_MAR_Mohammed-VI-of-Morocco.jpg","https://commons.wikimedia.org/wiki/File:King_Mohammed_VI_%28cropped%29.jpg","CC BY 2.0","UN Climate Change","Flickr","2060","2972","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"42","Saudi Arabia","Саудовская Аравия","SAU","35300280","1 Jul 2024","Official estimate","Salman bin Abdulaziz Al Saud","Салман ибн Абдул-Азиз Аль Сауд","Q367825","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","1200000","$1,200,000","Not used: source appears to describe royal grant/privy purse/allowance or an unverified outlier, not personal monthly salary.","$100,000","100000","royal_compensation_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for royal/head-of-state official compensation; personal salary not public.","","assets/final_portraits_3x4/042_SAU_Salman-bin-Abdulaziz-Al-Saud.jpg","https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9_%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%D8%A9_%D9%84%D8%AE%D8%A7%D8%AF%D9%85_%D8%A7%D9%84%D8%AD%D8%B1%D9%85%D9%8A%D9%86_%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81%D9%8A%D9%86_%D8%A7%D9%84%D9%85%D9%84%D9%83_%D8%B3%D9%84%D9%85%D8%A7%D9%86_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A2%D9%84_%D8%B3%D8%B9%D9%88%D8%AF.jpg","CC BY-SA 4.0","Saudi Press Agency (SPA)","https://cc.spa.gov.sa/ar#27476","5362","6638","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"43","Malaysia","Малайзия","MYS","34374300","31 Mar 2026","National quarterly estimate","Ibrahim Iskandar of Johor","Ибрагим Исмаил","Q2657043","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","263496","$263,496","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$21,958","21958","royal_allowance_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate from public allowance/remuneration tables; rounded USD/month.","","assets/final_portraits_3x4/043_MYS_Ibrahim-Iskandar-of-Johor.jpg","https://commons.wikimedia.org/wiki/File:King_Ibrahim_of_Malaysia_August_2025.jpg","CC BY 4.0","Mikhail Tereshchenko","http://www.kremlin.ru/events/president/news/77721","456","608","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"44","Peru","Перу","PER","34350244","1 Jul 2025","National annual projection","José María Balcázar","Хосе Мария Балькасар","Q108414587","Head of state / president where applicable","head_state","56,530 USD (President)","56530","$56,530","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$4,711","4711","local_salary_explicit_usd","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/044_PER_José-María-Balcázar.jpg","https://commons.wikimedia.org/wiki/File:Jos%C3%A9_Mar%C3%ADa_Balc%C3%A1zar.jpg","CC BY 2.0","Ministerio  de la Producción","https://www.flickr.com/photos/ministeriodelaproduccion/55115219825/","647","869",""
"45","Mozambique","Мозамбик","MOZ","34090466","1 Jul 2025","National annual projection","Daniel Chapo","Даниэл Шапу","Q97058466","Head of state / president where applicable","head_state","46,800 USD (President)","46800","$46,800","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,900","3900","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/045_MOZ_Daniel-Chapo.jpg","https://commons.wikimedia.org/wiki/File:Daniel_Chapo_on_November_24%2C_2025_%28cropped%29.jpg","CC BY-SA 4.0","Lula Oficial","https://www.flickr.com/photos/lulaoficial/54943384281/","836","1080","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"46","Ghana","Гана","GHA","33742380","1 Jul 2025","National annual projection","John Mahama","Джон Драмани Махама","Q50678","Head of state / president where applicable","head_state","76,000 USD (President)","76000","$76,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$6,333","6333","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/046_GHA_John-Mahama.jpg","https://commons.wikimedia.org/wiki/File:John_Mahama_in_Yokohama_%28cropped%29.jpg","CC BY 4.0","Cabinet Public Relations Office of the Cabinet Secretariat","TICAD 9 -Day 1- (2) (The Prime Minister in Action) | Prime Minister's Office of Japan","611","803","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"47","Yemen","Йемен","YEM","32684503","1 Jul 2023","Official estimate","Rashad al-Alimi","Ришад Мухаммед Алими","Q12213376","Chairperson, Presidential Leadership Council","head_state","15,300 USD (President)","15300","$15,300","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,275","1275","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/047_YEM_Rashad-al-Alimi.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Rashad%20al-Alimi%20-%202022.jpg","CC BY-SA 4.0","Ali mamon","Own work","","","FACTCHECK: Yemen: chair of Presidential Leadership Council; salary weak. | FACTCHECK: salary retained as approximate; official/current source not fully verified"
"48","Madagascar","Мадагаскар","MDG","31727042","1 Jul 2025","National annual projection","Michael Randrianirina","Микаэль Рандрианирина","Q136500275","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","48000","$48,000","Not publicly disclosed.","$4,000","4000","presidential_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate; post-coup/current president salary not publicly disclosed.","","assets/final_portraits_3x4/048_MDG_Michael-Randrianirina.jpg","https://commons.wikimedia.org/wiki/File:Michael_Randrianirina_in_February_2026.jpg","CC BY 4.0","Presidential Executive Office of Russia","http://en.kremlin.ru/events/president/news/79182/photos/85331","662","872","FACTCHECK: Salary not publicly disclosed for current post-coup president. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"49","Ivory Coast","Кот-д’Ивуар","CIV","31719275","31 Dec 2024","National annual projection","Alassane Ouattara","Алассан Уаттара","Q57413","Head of state / president where applicable","head_state","100,000 USD (President)","100000","$100,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$8,333","8333","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/049_CIV_Alassane-Ouattara.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Alassane%20Ouattara%20-%202024%20%28cropped%29.jpg","Attribution","Dario Pignatelli / European Union","https://newsroom.consilium.europa.eu/permalink/p184725 - https://newsroom.consilium.europa.eu/events/20240424-president-michel-visits-cote-d-ivoire/Pressstatements-27577/184725","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"50","Nepal","Непал","NPL","29911840","25 Nov 2025","National annual projection","Ram Chandra Poudel","Рам Чандра Паудел","Q3183124","Head of state / president where applicable","head_state","17,584 USD (President)","17584","$17,584","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,465","1465","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/050_NPL_Ram-Chandra-Poudel.jpg","https://commons.wikimedia.org/wiki/File:President_Ram_Chandra_Poudel%2C_Official_portrait_%28January_2024%29.jpg","CC BY 2.0","Houses of the Oireachtas","https://www.flickr.com/photos/54097310@N08/53457375098/","646","867","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"51","Cameroon","Камерун","CMR","29442327","1 Jul 2025","National annual projection","Paul Biya","Поль Бийя","Q57272","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","96000","$96,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$8,000","8000","presidential_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Conservative production estimate; prior very high aggregate figure was suppressed.","","assets/final_portraits_3x4/051_CMR_Paul-Biya.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Biya%20in%20December%2014th%2C%202022.jpg","Public domain","United States Department of State Africa U.S.-Africa Leaders Summit: Photos and Videos","https://www.state.gov/africasummit/photos/","","","FACTCHECK: salary retained as approximate; official/current source not fully verified | FACTCHECK: high aggregate salary suppressed; no reliable official/current salary confirmation found | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"52","Ukraine","???????","UKR","28700000","1 Sep 2025","State migration service","Volodymyr Zelenskyy","???????? ?????????","Q3874799","Head of state / president where applicable","head_state","UAH 336,000 annual / UAH 28,000 monthly (President, 2025 declaration)","7655","$7,655","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$638","638","manual_2025_declaration_uah_to_usd_estimate","low","https://modern.az/en/dunya/587191/zelensky-his-salary-and-income-disclosed/","Reported 2025 presidential salary is UAH 336,000 per year / UAH 28,000 per month; USD is approximate and exchange-rate dependent.","","assets/final_portraits_3x4/052_UKR_Volodymyr-Zelenskyy.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Volodymyr%20Zelensky%20Official%20portrait.jpg","CC BY 4.0","me.gov.ua","https://me.gov.ua/Documents/Detail?lang=uk-UA&amp;id=11d61b18-e608-48ef-a22f-93c283fc84cc&amp;title=Vitseprem-rministrUkrainiMinistr2021","","",""
"53","Venezuela","Венесуэла","VEN","28517000","1 Jul 2025","UN projection","Delcy Rodriguez","Дельси Родригес","Q15081116","Acting President / Executive Vice President","head_state","production estimate, USD monthly equivalent","12000","$12,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,000","1000","acting_president_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for acting president/executive VP; official salary not independently verified.","","assets/final_portraits_3x4/053_VEN_Delcy-Rodriguez.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Delcy%20Rodr%C3%ADguez%20portrait.jpg","CC BY-SA 4.0","government.ru","This image has been extracted from another file","","","FACTCHECK: Venezuela: acting president / executive vice president; salary not independently verified. | FACTCHECK: Acting president salary not independently verified. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"54","Australia","Австралия","AUS","27724744","30 Sep 2025","Official projection","Sam Mostyn","Sam Mostyn","Q105100733","Governor-General of Australia / representative of the monarch","representative_head_state","production estimate, USD monthly equivalent","462000","$462,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$38,500","38500","governor_general_equivalent_estimate","estimated","https://www.legislation.gov.au/C2024A00053/asmade/2024-06-28/text/original/pdf","Australia is a constitutional monarchy; display uses the Governor-General salary as representative head-of-state compensation equivalent.","009_AUS_Sam-Mostyn.jpg","009_AUS_Sam-Mostyn.jpg","https://commons.wikimedia.org/wiki/File:Sam_Mostyn_2024.jpg","CC BY 3.0","Governor-General of Australia","Governor-General of Australia / gg.gov.au","1342","1880","FACTCHECK 2026-06-09: replaced Charles III with Sam Mostyn because salary basis is governor-general equivalent."
"55","Niger","Нигер","NER","27522750","1 Jul 2025","National annual projection","Abdourahamane Tchiani","Омар Чиани","Q120965176","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","36000","$36,000","Not publicly disclosed.","$3,000","3000","presidential_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate; salary not publicly disclosed.","","assets/final_portraits_3x4/055_NER_Abdourahamane-Tchiani.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Abdourahamane%20Tchiani%20in%202025%20%28cropped%29.jpg","","","","","","FACTCHECK: Salary not publicly disclosed. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"56","North Korea","КНДР","PRK","25950000","1 Jul 2024","National annual projection","Kim Jong-un","Ким Чен Ын","Q56226","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","60000","$60,000","Not publicly disclosed.","$5,000","5000","state_leader_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate; salary not publicly disclosed in North Korea.","","assets/final_portraits_3x4/056_PRK_Kim-Jong-un.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jong-un%20and%20Vladimir%20Putin%20%282023-09-13%29%2012%20%28cropped%29.jpg","CC BY 4.0","Владимир Смирнов / ТАСС","КНДР поддерживает курс России на справедливое мироустройство (HQ); TASS Mediabank (ID 62123259)","","","FACTCHECK: Salary not publicly disclosed. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"57","Syria","Сирия","SYR","25620427","1 Jul 2025","Monthly estimate","Ahmed al-Sharaa","Ахмед аш-Шараа","Q7934206","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","60000","$60,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,000","5000","presidential_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Conservative production estimate; prior high aggregate figure was suppressed.","","assets/final_portraits_3x4/057_SYR_Ahmed-al-Sharaa.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20al-Sharaa%2C%20President%20of%20Syria%2C%20in%20March%202026.jpg","CC BY 4.0","Foreign, Commonwealth &amp; Development Office","Minister Falconer meets Syrian President","","","FACTCHECK: salary retained as approximate; official/current source not fully verified | FACTCHECK: high aggregate salary suppressed; no reliable official/current salary confirmation found | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"58","Burkina Faso","Буркина-Фасо","BFA","24070553","1 Jul 2025","Official projection","Ibrahim Traoré","Ибраим Траоре","Q114341246","Head of state / president where applicable","head_state","33,810 USD (President)","33810","$33,810","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$2,818","2818","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/058_BFA_Ibrahim-Traoré.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Capitaine%20Ibrahim%20Traor%C3%A9.jpg","","","","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"59","Taiwan","Китайская Республика (Тайвань)","TWN","23262544","30 Apr 2026","Official estimate","Lai Ching-te","Лай Циндэ","Q3847080","Head of state / president where applicable","head_state","180,000 USD (President)","180000","$180,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$15,000","15000","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/059_TWN_Lai-Ching-te.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/%E8%B3%B4%E6%B8%85%E5%BE%B7%E7%B8%BD%E7%B5%B1%201.jpg","Attribution","總統府","https://www.president.gov.tw/Page/697","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"60","Mali","Мали","MLI","22395489","15 Jun 2022","2022 census result","Assimi Goïta","Ассими Гоита","Q98497406","Head of state / president where applicable","head_state","68,900 USD (President)","68900","$68,900","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,742","5742","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/060_MLI_Assimi-Goïta.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Assimi%20Go%C3%AFta%20in%20July%202023.jpg","CC BY 4.0","President of Russia,Kremlin","http://en.kremlin.ru/events/president/news/71842","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"61","Sri Lanka","Шри-Ланка","LKA","21781800","19 Dec 2024","2024 census result","Anura Kumara Dissanayake","Анура Кумара Диссанаяке","Q4777855","Head of state / president where applicable","head_state","7,380 USD (President)","7380","$7,380","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$615","615","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/061_LKA_Anura-Kumara-Dissanayake.jpg","https://commons.wikimedia.org/wiki/File:Minister_of_External_Affairs%2C_Govt._of_Bharat%2C_Dr._Subrahmanyam_Jaishankar_with_the_President_of_Sri_Lanka_Mr._Anura_Kumara_Dissanayake_%28cropped%29.jpg","GODL-India","Ministry of External Affairs
","



 
This file or its source was published by Press Information Bureau on behalf of Ministry of External Affairs, Government of India under the ID 173009. (direct link)
This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing.


العربية ∙ বাংলা ∙ English ∙ हिन्दी ∙ 日本語 ∙ македонски ∙ മലയാളം ∙ polski ∙ தமிழ் ∙ ತುಳು ∙ 中文 ∙ 中文（简体） ∙ 中文（繁體） ∙ +/−



","562","721","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"62","Malawi","Малави","MWI","20734262","1 Jul 2025","National annual projection","Peter Mutharika","Питер Мутарика","Q7176020","Head of state / president where applicable","head_state","74,300 USD (President)","74300","$74,300","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$6,192","6192","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/062_MWI_Peter-Mutharika.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Peter%20Mutharika%202014%20%28cropped%29.jpg","Public domain","U.S. Department of State","https://www.flickr.com/photos/statephotos/14817425966/","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"63","Kazakhstan","Казахстан","KAZ","20562993","1 May 2026","Official estimate","Qasym-Zhomart Toqaev","Касым-Жомарт Кемелевич Токаев","Q200881","Head of state / president where applicable","head_state","20,400 USD (President)","20400","$20,400","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,700","1700","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/063_KAZ_Qasym-Zhomart-Toqaev.jpg","https://commons.wikimedia.org/wiki/File:2025_Tokayev_Address_to_the_Nation_%28cropped%29.jpg","CC BY 4.0","Қазақстан премьер-министрі","Мемлекет басшысы Қасым-Жомарт Тоқаевтың «Жасанды интеллект дәуіріндегі Қазақстан: өзекті мәселелер және оны түбегейлі цифрлық өзгерістер арқылы шешу» атты Қазақстан халқына Жолдауы","696","928","FACTCHECK: salary retained as approximate; official/current source not fully verified"
